,location,bhk,total_sqft,bath,price,encoded_loc
0,Electronic City Phase II,2,1056.0,2.0,39.07,78
1,Chikka Tirupathi,4,2600.0,5.0,120.0,60
2,Uttarahalli,3,1440.0,2.0,62.0,225
3,Lingadheeranahalli,3,1521.0,3.0,95.0,158
4,Kothanur,2,1200.0,2.0,51.0,150
5,Whitefield,2,1170.0,2.0,38.0,234
6,Old Airport Road,4,2732.0,4.0,204.0,182
7,Marathahalli,3,1310.0,3.0,63.25,165
8,Whitefield,3,1800.0,2.0,70.0,234
9,7th Phase JP Nagar,2,1000.0,2.0,38.0,7
10,Gottigere,2,1100.0,2.0,40.0,85
11,Sarjapur,3,2250.0,3.0,148.0,202
12,Mysore Road,2,1175.0,2.0,73.5,171
13,Bisuvanahalli,3,1180.0,3.0,48.0,49
14,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,193
15,others,2,1100.0,2.0,48.0,240
16,Binny Pete,3,1755.0,3.0,122.0,48
17,Bellandur,3,1767.0,3.0,103.0,43
18,Thanisandra,1,510.0,1.0,25.25,218
19,others,3,1250.0,3.0,56.0,240
20,Electronic City,2,660.0,1.0,23.1,77
21,Whitefield,3,1610.0,3.0,81.0,234
22,Ramagondanahalli,2,1151.0,2.0,48.77,196
23,Electronic City,3,1025.0,2.0,47.0,77
24,Yelahanka,4,2475.0,4.0,186.0,236
25,Bisuvanahalli,3,1075.0,2.0,35.0,49
26,Hebbal,3,1760.0,2.0,123.0,95
27,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,193
28,Kasturi Nagar,3,1925.0,3.0,125.0,135
29,Kanakpura Road,2,700.0,2.0,36.0,131
30,Electronics City Phase 1,2,1070.0,2.0,45.5,79
31,Kundalahalli,3,1724.0,3.0,125.0,154
32,Chikkalasandra,3,1290.0,2.0,56.12,62
33,Uttarahalli,2,1143.0,2.0,45.0,225
34,Murugeshpalya,2,1296.0,2.0,81.0,170
35,Sarjapur  Road,3,1254.0,3.0,38.0,203
36,others,1,600.0,1.0,38.0,240
37,Yelahanka,1,660.0,1.0,48.0,236
38,Kanakpura Road,2,1330.74,2.0,91.79,131
39,Doddathoguru,2,970.0,2.0,33.0,73
40,Whitefield,2,1459.0,2.0,94.82,234
41,others,2,869.0,2.0,36.0,240
42,others,2,1270.0,2.0,50.0,240
43,Bhoganhalli,3,1670.0,3.0,99.0,46
44,Whitefield,3,2010.0,3.0,91.0,234
45,Lakshminarayana Pura,2,1185.0,2.0,75.0,157
46,Yelahanka,3,1600.0,2.0,75.0,236
47,Begur Road,2,1200.0,2.0,44.0,42
48,Devanahalli,4,3210.0,2.0,192.0,68
49,others,2,840.0,2.0,45.0,240
50,others,3,4395.0,3.0,240.0,240
51,others,2,845.0,2.0,55.0,240
52,Varthur,2,1160.0,2.0,44.0,226
53,Doddathoguru,2,1100.0,2.0,62.0,73
54,Gunjur,2,1140.0,2.0,43.0,88
